ATO_ID,ra,dec
J098.9903+26.2169,98.9903,26.21696
J286.5114+36.6636,286.51147,36.66364
J294.4191-12.0051,294.41911,-12.00512
J289.3304+00.4587,289.3305,0.4587
J251.2154-23.3456,251.21549,-23.3456
J263.1981-14.4887,263.1981,-14.4887
J263.2718-14.4640,263.27181,-14.46403
J263.8737-14.4635,263.8737,-14.4635
J263.0047-14.3819,263.0047,-14.3819
J263.8135-14.3661,263.81356,-14.36615
J301.3895+01.4768,301.38953,1.47684
J301.0326+02.5343,301.03262,2.53436
J263.4527-14.1724,263.45272,-14.17243
J263.8405-14.1394,263.84058,-14.13947
J324.5719-26.2698,324.57191,-26.26983
J283.7839-16.8113,283.78394,-16.8113
J306.1594+47.0886,306.15941,47.08862
J315.1233+40.1524,315.12335,40.15241
J263.3769-14.0339,263.37698,-14.03397
J263.9129-14.8894,263.9129,-14.8894
J278.7550-06.3747,278.755,-6.3747
J289.0260+00.7156,289.026,0.7156
J359.8948+54.1500,359.89484,54.15005
J289.6545+00.9768,289.6545,0.9768
J289.4189+00.9842,289.41896,0.98421
J315.9807+41.8017,315.98079,41.80174
J294.8452-15.3954,294.84524,-15.39548
J234.7362-18.7025,234.73621,-18.70254
J284.2297+33.6609,284.22974,33.66091
J117.1577-17.8263,117.15774,-17.82631
J303.2873+27.0666,303.2873,27.0666
J281.5715-10.4449,281.57152,-10.44497
J281.3275-10.4099,281.3275,-10.4099
J293.9729+08.5362,293.97297,8.53626
J107.0540-05.7631,107.05402,-5.76314
J275.9394+01.6591,275.93948,1.65919
J275.4000+01.6648,275.4,1.6648
J255.5623-14.0109,255.5623,-14.0109
J329.5358+48.1456,329.5358,48.14561
J234.5733-18.4267,234.57333,-18.42679
J296.1263+33.7513,296.1263,33.75132
J265.1783-08.7047,265.1783,-8.7047
J265.9080-08.4419,265.908,-8.4419
J329.5770+48.3147,329.57709,48.31472
J234.9242-20.1531,234.92421,-20.1532
J270.2122-22.8746,270.21224,-22.8746
J311.1425+35.6168,311.14252,35.61683
J255.8443-15.5156,255.84437,-15.51567
J275.6014+02.7860,275.60146,2.78603
J275.2817+02.8225,275.2818,2.82258
J275.3005+02.8553,275.30059,2.85538
J303.8078+28.4015,303.8078,28.4015
J303.3262+28.5000,303.32627,28.5
J265.1731-09.5068,265.1731,-9.5068
J265.9047-09.4421,265.90476,-9.44215
J265.5581-09.1151,265.55815,-9.11511
J275.6427+03.7642,275.6427,3.7642
J255.5794-18.5929,255.57942,-18.59296
J286.9516-10.3224,286.95168,-10.32246
J286.1190-10.2428,286.11906,-10.24284
J293.0865+09.6410,293.0866,9.64109
J281.2037-11.1994,281.2037,-11.1994
J275.6127+03.8793,275.61274,3.87937
J275.1371+03.9010,275.13714,3.90105
J275.3944+03.9192,275.39447,3.91923
J303.1468+30.5623,303.1468,30.5623
J130.8383-17.1590,130.83833,-17.15909
J265.7821-11.0550,265.7821,-11.055
J093.8752-05.7781,93.87528,-5.77811
J303.5717+31.1541,303.57178,31.15415
J085.9438+01.5835,85.94388,1.58355
J279.7968+26.4089,279.79688,26.40897
J279.5305+26.4961,279.53058,26.49613
J101.4953+19.0891,101.49532,19.08918
J275.9040+04.8917,275.904,4.89176
J113.9679+05.7881,113.96793,5.78818
J117.4485-20.3523,117.44854,-20.3523
J296.4640+34.3780,296.46406,34.37808
J093.1421-10.8681,93.14211,-10.86818
J303.6763+32.1510,303.67634,32.15106
J299.5122+01.8442,299.5122,1.84421
J061.2098+57.4099,61.20985,57.40996
J085.8165+06.7623,85.81652,6.76232
J101.3224+21.0825,101.32249,21.08258
J075.6325+47.3647,75.63258,47.36478
J281.0610-12.0114,281.061,-12.0114
J130.4940-22.6172,130.49408,-22.61727
J289.0524+37.0436,289.05247,37.04366
J255.9084-20.1839,255.90842,-20.18393
J286.7234-12.2620,286.72344,-12.26206
J265.2083-13.3871,265.2083,-13.3871
J279.9284+30.4765,279.92848,30.4765
J342.1107+31.1702,342.11079,31.17021
J101.5185+22.1185,101.51857,22.1185
J329.8418+51.3968,329.84188,51.39686
J299.6345+02.2220,299.63454,2.22208
J299.7371+02.3152,299.73711,2.31527
