star_name,shifted_data,period,A0,N,sigma,A1,phi1,A2,phi2,A3,phi3,A4,phi4,A5,phi5,A6,phi6,A7,phi7,A8,phi8,A9,phi9,A10,phi10,A11,phi11,A12,phi12,A13,phi13,A14,phi14,A15,phi15,metallicity
TY Pav,,0.7103756,12.619,198,0.0293,0.3068,2.0031,0.1531,0.332,0.0884,5.0691,0.0466,3.7108,0.0244,2.3641,0.0121,1.2234,0.0058,0.385,0.0048,6.1069,0.0052,5.0601,0.0047,3.7516,0.0038,2.284,0.0031,0.6636,0.0027,5.0598,0.0027,3.3299,0.003,1.7946,-2.01
DN Pav,,0.46844376,12.55,275,0.0359,0.4554,1.8136,0.1984,5.8583,0.1531,3.7652,0.103,1.9233,0.0791,0.0553,0.0573,4.5434,0.0387,2.7484,0.0244,0.9095,0.0146,5.2377,0.0092,3.0715,0.0074,0.8278,0.0074,5.0713,0.0072,3.2198,0.0064,1.4814,0.0052,6.1221,-1.27
AV Peg,,0.390376,10.536,110,0.0197,0.3487,5.7013,0.193,1.4137,0.1084,3.6085,0.0617,5.7775,0.0379,1.5746,0.0289,3.7197,0.0169,5.7081,0.0097,1.4041,0.008,3.9127,0.0039,6.1281,0.0022,2.8403,0.0022,5.2942,0.0011,1.1699,0.0011,3.0934,0.0011,5.7924,0.08
AR Per,,0.42554892,10.487,123,0.0112,0.3183,2.2127,0.1725,0.7301,0.1054,5.7987,0.061,4.5565,0.0357,3.3076,0.0196,2.0554,0.0092,0.839,0.0028,6.19,0.0019,0.3446,0.0037,5.7915,0.0046,4.5474,0.0049,3.2358,0.0044,1.8696,0.0037,0.5677,0.0028,5.5635,-0.14
U Pic,,0.4403703,11.435,146,0.0229,0.3892,4.8282,0.215,5.7592,0.1431,0.807,0.0929,2.1112,0.0577,3.4128,0.037,4.6538,0.0247,5.8496,0.0172,0.7516,0.0121,1.9216,0.0081,3.1289,0.0048,4.3754,0.0022,5.6724,0.0001,1.3534,0.0016,4.9332,0.0027,6.2565,-0.5
RY Psc,,0.5297291,12.423,138,0.0291,0.2884,0.4942,0.1463,3.2231,0.0834,0.2423,0.0457,3.3582,0.0255,0.0975,0.0152,3.0024,0.0104,5.8508,0.008,2.4849,0.0061,5.5356,0.0044,2.4479,0.0029,5.619,0.0011,2.6541,0.0006,6.2149,0.0004,2.2471,0.0008,4.965,-1.18
BB Pup,,0.4805468,12.209,290,0.0244,0.3322,5.3753,0.1804,0.7173,0.1112,2.6217,0.0677,4.5679,0.0409,0.1003,0.0244,1.9926,0.0138,3.9826,0.0072,6.1227,0.0037,2.2847,0.003,4.9654,0.0035,1.0325,0.0037,3.0668,0.0036,5.0687,0.0034,0.7098,0.0032,2.6098,-0.35
V440 Sgr,,0.47747883,10.424,227,0.0137,0.4214,6.2784,0.2026,2.2377,0.153,4.8294,0.0974,1.1471,0.0721,3.8023,0.0458,0.1497,0.0273,2.7642,0.0188,5.2133,0.0152,1.5347,0.0119,4.222,0.0069,0.5833,0.0044,3.1611,0.0024,5.8988,0.0016,2.0557,0.0005,4.1631,-1.21
VY Ser,*,0.7140962,10.153,254,0.012,0.2581,3.8357,0.1243,4.0015,0.0759,4.3823,0.033,5.0026,0.0142,5.543,0.008,0.1362,0.0071,0.9985,0.0068,1.6356,0.0061,2.1479,0.0052,2.6173,0.0044,3.1058,0.0044,3.522,0.0039,3.9105,0.0036,4.3377,0.0033,4.7809,-1.58
AN Ser,,0.52207211,11.008,194,0.0177,0.3678,3.0363,0.1834,2.4866,0.1034,2.2175,0.0626,1.7261,0.0364,1.3665,0.0192,1.0381,0.0087,0.7593,0.0029,0.5104,0.0009,1.6616,0.0022,1.8629,0.0037,1.4916,0.0048,1.0811,0.0055,0.7265,0.0055,0.3768,0.005,0.1175,0.09
AT Ser,,0.7465682,11.531,163,0.0161,0.3227,0.0291,0.1584,2.7672,0.1014,5.5007,0.0577,2.1541,0.031,5.2446,0.0166,2.1042,0.0092,5.3644,0.006,2.5013,0.0054,5.8556,0.0052,2.7068,0.0049,5.6932,0.0043,2.3143,0.0035,5.1647,0.0027,1.6832,0.002,4.4269,-1.8
AV Ser,,0.4875571,11.562,134,0.0197,0.3988,1.5731,0.192,5.3747,0.1341,3.3659,0.0827,1.2069,0.0519,5.3799,0.0338,3.2693,0.0229,1.1805,0.0155,5.4071,0.0096,3.3641,0.0053,1.287,0.0025,5.237,0.0016,2.524,0.0014,0.25,0.0011,4.6624,0.0005,3.4664,-0.95
RW Tra,*,0.374039,11.344,168,0.0146,0.2807,1.6469,0.1356,5.932,0.071,4.135,0.0362,2.3013,0.0172,0.3859,0.0077,4.6489,0.0032,2.5566,0.0003,0.5756,0.0013,1.7758,0.002,0.004,0.0016,4.6174,0.0007,3.1526,0.0004,3.4522,0.001,2.1761,0.0009,0.7241,0.27
W Tuc,,0.642237,11.495,154,0.0088,0.4002,5.2118,0.2145,0.3417,0.1344,2.0102,0.0886,3.9515,0.0406,5.5835,0.0297,0.7075,0.0245,2.4465,0.0094,4.3113,0.0069,5.4001,0.0039,1.0121,0.0012,5.7618,0.0013,2.7843,0.0017,3.4408,0.0025,4.7811,0.003,5.7889,-1.37
YY Tuc,,0.635021,12.066,131,0.0206,0.4041,1.3958,0.2203,5.1597,0.137,2.9369,0.0886,0.9079,0.0529,5.0367,0.0324,2.8305,0.021,0.6233,0.0143,4.7381,0.0099,2.6492,0.0071,0.6886,0.0055,5.1255,0.0048,3.3309,0.0046,1.5179,0.0046,5.8794,0.0043,3.8988,-1.54
TU UMa,,0.557657,9.849,427,0.0135,0.3281,2.9453,0.1658,1.9827,0.1162,1.4013,0.0748,0.8343,0.0426,0.3007,0.0236,6.0006,0.0127,5.3717,0.0064,4.7611,0.0027,4.3444,0.0015,4.8865,0.0027,4.8732,0.0038,4.3968,0.0046,3.8138,0.005,3.2229,0.0051,2.6125,-1.15
UU Vir,,0.47560652,10.627,110,0.0139,0.3756,1.372,0.2054,5.1373,0.131,2.959,0.0938,0.8321,0.0569,4.9574,0.0339,2.6308,0.0197,0.3671,0.0144,4.3542,0.0086,1.8993,0.005,5.6799,0.0037,3.3662,0.0046,0.6953,0.0034,4.6167,0.0018,2.0494,0.0011,5.7768,-0.6
AT Vir,,0.5257915,11.423,77,0.0377,0.4131,4.8677,0.1731,5.7203,0.1417,0.37,0.1022,1.599,0.0708,2.8405,0.0478,4.0552,0.0313,5.2195,0.0204,0.0084,0.0139,0.9453,0.0112,1.8274,0.0104,2.7926,0.0102,3.8922,0.0096,5.091,0.0088,0.0597,0.0077,1.3509,-1.54
AV Vir,,0.656908,11.842,140,0.0184,0.2718,0.7286,0.1335,4.0737,0.0822,1.4576,0.0426,5.1255,0.0194,2.5043,0.0088,0.0118,0.0056,4.2381,0.0069,2.1287,0.0078,5.9873,0.007,3.4682,0.005,0.8733,0.0028,4.4377,0.0014,1.3375,0.001,4.4196,0.0009,1.7312,-1.02
FH Vul,,0.405438,12.965,34,0.0144,0.4526,3.3418,0.2414,2.581,0.151,2.2337,0.1021,1.9044,0.0714,1.5639,0.0504,1.1991,0.0356,0.8063,0.0253,0.371,0.0184,6.1726,0.0138,5.653,0.0107,5.1415,0.0089,4.642,0.0072,4.1554,0.0055,3.6932,0.0039,3.2021,-0.61
