star_name,shifted_data,period,A0,N,sigma,A1,phi1,A2,phi2,A3,phi3,A4,phi4,A5,phi5,A6,phi6,A7,phi7,A8,phi8,A9,phi9,A10,phi10,A11,phi11,A12,phi12,A13,phi13,A14,phi14,A15,phi15,metallicity
BK Dra,,0.5920785,11.254,334,0.0159,0.4205,4.1433,0.1943,4.2705,0.1551,4.7695,0.0935,5.2943,0.0722,5.8614,0.0403,0.2523,0.0276,0.4414,0.0224,0.9825,0.0188,1.3817,0.0145,1.9202,0.0094,2.3184,0.0033,2.4769,0.0036,4.7462,0.0017,3.9515,0.001,5.4905,-1.83
BT Dra,,0.58830638,11.649,269,0.016,0.285,1.6987,0.1365,5.9038,0.0844,4.053,0.0495,2.3912,0.0254,0.6324,0.0103,5.1601,0.0029,3.8778,0.0028,3.6909,0.0042,2.0745,0.0043,0.2287,0.0035,4.6258,0.0026,2.7847,0.0019,0.8466,0.0013,5.4025,0.0012,3.8025,-1.28
RX Eri,,0.58724751,9.704,239,0.0092,0.3101,3.0822,0.1618,2.3907,0.1016,1.9453,0.0618,1.6354,0.033,1.2279,0.0172,0.7963,0.0094,0.6025,0.0042,0.6775,0.0046,0.8495,0.006,0.8416,0.0064,0.6589,0.006,0.6077,0.0061,0.1088,0.0045,5.7978,0.0043,5.4715,-1.07
SV Eri,*,0.713798,9.979,337,0.0103,0.289,4.566,0.0819,5.4245,0.0376,0.1322,0.009,1.5412,0.0034,1.9983,0.001,4.5724,0.0017,0.4681,0.0009,3.9087,0.0021,3.0631,0.0012,6.0695,0.0013,0.6198,0.0011,0.6642,0.0029,2.9634,0.0013,1.1391,0.0017,0.3271,-1.67
BB Eri,*,0.5699005,11.534,77,0.0213,0.3024,1.4549,0.1576,5.2888,0.1023,3.2384,0.0647,1.2056,0.0403,5.43,0.0239,3.383,0.0128,1.4029,0.0061,5.944,0.0037,4.7216,0.0046,3.2676,0.0056,1.3385,0.0059,5.5333,0.0057,3.3781,0.0053,1.1928,0.0048,5.2623,-1.23
SX For,,0.6053397,11.125,42,0.0195,0.2426,3.8922,0.122,3.9984,0.0604,4.4179,0.0372,4.8663,0.0191,5.4778,0.009,0.1607,0.0073,1.344,0.0077,2.0468,0.0076,2.4667,0.007,2.7855,0.006,3.1288,0.0048,3.565,0.0037,4.1232,0.0027,4.8294,0.0022,5.6219,-1.35
RR Gem,*,0.397308158,11.416,91,0.0135,0.3996,0.865,0.2264,4.1763,0.1363,1.4895,0.0906,5.1487,0.0545,2.3904,0.035,5.843,0.0247,3.0086,0.0184,0.2125,0.0137,3.7354,0.01,0.9864,0.007,4.4996,0.0048,1.6681,0.0033,5.0172,0.0026,1.9987,0.0023,5.3008,-0.14
RW Gru,,0.550303,12.476,167,0.0339,0.3891,3.8076,0.1898,3.568,0.124,3.7088,0.0787,3.8369,0.0536,4.0356,0.0359,4.2365,0.023,4.4649,0.0144,4.7464,0.0093,5.0926,0.0066,5.4242,0.0052,5.6726,0.0041,5.8094,0.0032,5.9164,0.0021,5.8932,0.001,5.8815,-1.71
UW Gru,,0.5482104,13.267,138,0.0176,0.3597,3.8802,0.1644,3.709,0.1188,3.921,0.0795,4.2872,0.0539,4.5028,0.0333,4.9793,0.0169,4.9721,0.0126,5.2131,0.0078,5.669,0.0063,0.1926,0.0025,1.4016,0.0048,1.7047,0.0031,2.2913,0.0043,2.9849,0.0057,2.9357,-1.41
TW Her,*,0.39959991,11.32,142,0.021,0.4278,3.6259,0.2401,3.3574,0.1557,3.4849,0.1006,3.4596,0.0666,3.5785,0.048,3.5841,0.0346,3.558,0.0252,3.601,0.0176,3.5184,0.0126,3.4037,0.0093,3.3514,0.007,3.122,0.0052,2.8964,0.0043,2.8848,0.0046,2.5091,-0.47
VX Her,,0.4553728,10.783,149,0.0148,0.4572,5.0402,0.2102,6.0409,0.1624,1.0168,0.1044,2.382,0.0709,3.7406,0.0546,5.1825,0.0313,0.3675,0.0219,1.7277,0.0135,2.7505,0.0121,3.8117,0.0081,5.1948,0.0063,6.0596,0.0054,1.1453,0.0031,2.4556,0.0032,3.7161,-1.21
VZ Her,,0.44032773,11.567,327,0.0317,0.4604,4.5273,0.2399,4.9695,0.145,5.8282,0.0975,0.4228,0.0684,1.2975,0.0489,2.1656,0.0354,3.0204,0.0256,3.8579,0.0183,4.6798,0.0131,5.4955,0.0094,0.0189,0.0066,0.8036,0.0045,1.5747,0.0028,2.3264,0.0017,2.9967,-0.8
SV Hya,,0.478639,10.599,191,0.0191,0.4518,1.7448,0.2213,5.6977,0.1335,3.5946,0.0815,1.7262,0.0435,5.8667,0.0215,3.5739,0.0136,1.0417,0.0127,4.9843,0.0113,2.8882,0.0089,0.9305,0.0063,5.2077,0.0043,3.0149,0.0033,0.7789,0.0035,4.97,0.0033,3.0682,-1.43
DH Hya,*,0.488998,12.226,143,0.0241,0.4283,1.6924,0.1897,5.5669,0.1525,3.4245,0.1102,1.3856,0.0783,5.6782,0.0486,3.5353,0.0279,1.3784,0.0218,5.6655,0.0186,3.7136,0.0085,1.7262,0.0069,5.45,0.0068,3.6744,0.0052,2.0404,0.0024,5.5621,0.0032,4.2018,-1.28
FY Hya,,0.636651,12.628,259,0.0393,0.3906,5.3871,0.1639,0.5476,0.1324,2.155,0.0843,3.7098,0.0684,5.5559,0.0385,1.3448,0.0173,2.7669,0.0202,4.2596,0.0185,0.1878,0.011,2.5929,0.0034,4.9604,0.0021,5.1473,0.0042,1.0244,0.0028,3.3669,0.0006,3.2887,-2.03
RR Leo,*,0.4523926,10.806,126,0.0136,0.46,2.8752,0.2207,1.7047,0.1617,0.8701,0.0997,0.0992,0.0698,5.5382,0.0518,4.8209,0.0298,4.0668,0.0178,2.9388,0.0171,2.1004,0.0136,1.4922,0.0119,0.5652,0.0041,6.2725,0.0026,4.7568,0.0026,4.2555,0.0005,5.4127,-1.3
RX Leo,,0.653418,11.949,43,0.0191,0.2629,5.5107,0.1278,1.0641,0.0685,3.2476,0.0347,5.4977,0.0159,1.6819,0.0093,4.4821,0.0078,0.7857,0.0058,3.0745,0.0034,5.2999,0.002,1.367,0.0015,3.586,0.0012,5.5362,0.0009,0.964,0.0006,2.6096,0.0005,3.7975,-1.13
